InputFile,Mode,YCbCrOutputFile,DilatedOutputFile,ExecutionTimeSeconds
../images/dice/3.dice_medium.png,opencl16x16,../output/dice/3.dice_medium_opencl16x16_ycbcr.png,../output/dice/3.dice_medium_opencl16x16_dilated.png,0.0979801
../images/dice/3.dice_medium.png,opencl8x8,../output/dice/3.dice_medium_opencl8x8_ycbcr.png,../output/dice/3.dice_medium_opencl8x8_dilated.png,0.0959827
../images/dice/3.dice_medium.png,opencv,../output/dice/3.dice_medium_opencv_ycbcr.png,../output/dice/3.dice_medium_opencv_dilated.png,0.00231704
../images/dice/3.dice_medium.png,non-parallel,../output/dice/3.dice_medium_non-parallel_ycbcr.png,../output/dice/3.dice_medium_non-parallel_dilated.png,0.42583
../images/dice/3.dice_medium.png,opencl256,../output/dice/3.dice_medium_opencl256_ycbcr.png,../output/dice/3.dice_medium_opencl256_dilated.png,0.0947458
../images/dice/3.dice_medium.png,opencl128,../output/dice/3.dice_medium_opencl128_ycbcr.png,../output/dice/3.dice_medium_opencl128_dilated.png,0.0947162
../images/dice/3.dice_medium.png,opencl64,../output/dice/3.dice_medium_opencl64_ycbcr.png,../output/dice/3.dice_medium_opencl64_dilated.png,0.0956759
../images/dice/3.dice_medium.png,opencl4x64,../output/dice/3.dice_medium_opencl4x64_ycbcr.png,../output/dice/3.dice_medium_opencl4x64_dilated.png,0.0950785
../images/dice/3.dice_medium.png,opencl8x32,../output/dice/3.dice_medium_opencl8x32_ycbcr.png,../output/dice/3.dice_medium_opencl8x32_dilated.png,0.109948
../images/dice/3.dice_medium.png,opencl2x128,../output/dice/3.dice_medium_opencl2x128_ycbcr.png,../output/dice/3.dice_medium_opencl2x128_dilated.png,0.0937712
../images/dice/1.dice_micro.png,opencl16x16,../output/dice/1.dice_micro_opencl16x16_ycbcr.png,../output/dice/1.dice_micro_opencl16x16_dilated.png,0.0121859
../images/dice/1.dice_micro.png,opencl8x8,../output/dice/1.dice_micro_opencl8x8_ycbcr.png,../output/dice/1.dice_micro_opencl8x8_dilated.png,0.0119013
../images/dice/1.dice_micro.png,opencv,../output/dice/1.dice_micro_opencv_ycbcr.png,../output/dice/1.dice_micro_opencv_dilated.png,0.00054025
../images/dice/1.dice_micro.png,non-parallel,../output/dice/1.dice_micro_non-parallel_ycbcr.png,../output/dice/1.dice_micro_non-parallel_dilated.png,0.0486044
../images/dice/1.dice_micro.png,opencl256,../output/dice/1.dice_micro_opencl256_ycbcr.png,../output/dice/1.dice_micro_opencl256_dilated.png,0.0117472
../images/dice/1.dice_micro.png,opencl128,../output/dice/1.dice_micro_opencl128_ycbcr.png,../output/dice/1.dice_micro_opencl128_dilated.png,0.0117128
../images/dice/1.dice_micro.png,opencl64,../output/dice/1.dice_micro_opencl64_ycbcr.png,../output/dice/1.dice_micro_opencl64_dilated.png,0.0117431
../images/dice/1.dice_micro.png,opencl4x64,../output/dice/1.dice_micro_opencl4x64_ycbcr.png,../output/dice/1.dice_micro_opencl4x64_dilated.png,0.0117724
../images/dice/1.dice_micro.png,opencl8x32,../output/dice/1.dice_micro_opencl8x32_ycbcr.png,../output/dice/1.dice_micro_opencl8x32_dilated.png,0.0112303
../images/dice/1.dice_micro.png,opencl2x128,../output/dice/1.dice_micro_opencl2x128_ycbcr.png,../output/dice/1.dice_micro_opencl2x128_dilated.png,0.0115365
../images/dice/4.dice_large.png,opencl16x16,../output/dice/4.dice_large_opencl16x16_ycbcr.png,../output/dice/4.dice_large_opencl16x16_dilated.png,0.166269
../images/dice/4.dice_large.png,opencl8x8,../output/dice/4.dice_large_opencl8x8_ycbcr.png,../output/dice/4.dice_large_opencl8x8_dilated.png,0.169434
../images/dice/4.dice_large.png,opencv,../output/dice/4.dice_large_opencv_ycbcr.png,../output/dice/4.dice_large_opencv_dilated.png,0.00251987
../images/dice/4.dice_large.png,non-parallel,../output/dice/4.dice_large_non-parallel_ycbcr.png,../output/dice/4.dice_large_non-parallel_dilated.png,0.74797
../images/dice/4.dice_large.png,opencl256,../output/dice/4.dice_large_opencl256_ycbcr.png,../output/dice/4.dice_large_opencl256_dilated.png,0.168893
../images/dice/4.dice_large.png,opencl128,../output/dice/4.dice_large_opencl128_ycbcr.png,../output/dice/4.dice_large_opencl128_dilated.png,0.167089
../images/dice/4.dice_large.png,opencl64,../output/dice/4.dice_large_opencl64_ycbcr.png,../output/dice/4.dice_large_opencl64_dilated.png,0.167863
../images/dice/4.dice_large.png,opencl4x64,../output/dice/4.dice_large_opencl4x64_ycbcr.png,../output/dice/4.dice_large_opencl4x64_dilated.png,0.168239
../images/dice/4.dice_large.png,opencl8x32,../output/dice/4.dice_large_opencl8x32_ycbcr.png,../output/dice/4.dice_large_opencl8x32_dilated.png,0.166956
../images/dice/4.dice_large.png,opencl2x128,../output/dice/4.dice_large_opencl2x128_ycbcr.png,../output/dice/4.dice_large_opencl2x128_dilated.png,0.169698
../images/dice/2.dice_small.png,opencl16x16,../output/dice/2.dice_small_opencl16x16_ycbcr.png,../output/dice/2.dice_small_opencl16x16_dilated.png,0.0434868
../images/dice/2.dice_small.png,opencl8x8,../output/dice/2.dice_small_opencl8x8_ycbcr.png,../output/dice/2.dice_small_opencl8x8_dilated.png,0.0444413
../images/dice/2.dice_small.png,opencv,../output/dice/2.dice_small_opencv_ycbcr.png,../output/dice/2.dice_small_opencv_dilated.png,0.000504875
../images/dice/2.dice_small.png,non-parallel,../output/dice/2.dice_small_non-parallel_ycbcr.png,../output/dice/2.dice_small_non-parallel_dilated.png,0.190596
../images/dice/2.dice_small.png,opencl256,../output/dice/2.dice_small_opencl256_ycbcr.png,../output/dice/2.dice_small_opencl256_dilated.png,0.0433786
../images/dice/2.dice_small.png,opencl128,../output/dice/2.dice_small_opencl128_ycbcr.png,../output/dice/2.dice_small_opencl128_dilated.png,0.0456493
../images/dice/2.dice_small.png,opencl64,../output/dice/2.dice_small_opencl64_ycbcr.png,../output/dice/2.dice_small_opencl64_dilated.png,0.0434666
../images/dice/2.dice_small.png,opencl4x64,../output/dice/2.dice_small_opencl4x64_ycbcr.png,../output/dice/2.dice_small_opencl4x64_dilated.png,0.0431352
../images/dice/2.dice_small.png,opencl8x32,../output/dice/2.dice_small_opencl8x32_ycbcr.png,../output/dice/2.dice_small_opencl8x32_dilated.png,0.0446535
../images/dice/2.dice_small.png,opencl2x128,../output/dice/2.dice_small_opencl2x128_ycbcr.png,../output/dice/2.dice_small_opencl2x128_dilated.png,0.0427071
../images/nature/3.nature_large.jpeg,opencl16x16,../output/nature/3.nature_large_opencl16x16_ycbcr.png,../output/nature/3.nature_large_opencl16x16_dilated.png,0.0664963
../images/nature/3.nature_large.jpeg,opencl8x8,../output/nature/3.nature_large_opencl8x8_ycbcr.png,../output/nature/3.nature_large_opencl8x8_dilated.png,0.068226
../images/nature/3.nature_large.jpeg,opencv,../output/nature/3.nature_large_opencv_ycbcr.png,../output/nature/3.nature_large_opencv_dilated.png,0.0011185
../images/nature/3.nature_large.jpeg,non-parallel,../output/nature/3.nature_large_non-parallel_ycbcr.png,../output/nature/3.nature_large_non-parallel_dilated.png,0.324425
../images/nature/3.nature_large.jpeg,opencl256,../output/nature/3.nature_large_opencl256_ycbcr.png,../output/nature/3.nature_large_opencl256_dilated.png,0.0664237
../images/nature/3.nature_large.jpeg,opencl128,../output/nature/3.nature_large_opencl128_ycbcr.png,../output/nature/3.nature_large_opencl128_dilated.png,0.0660897
../images/nature/3.nature_large.jpeg,opencl64,../output/nature/3.nature_large_opencl64_ycbcr.png,../output/nature/3.nature_large_opencl64_dilated.png,0.0660243
../images/nature/3.nature_large.jpeg,opencl4x64,../output/nature/3.nature_large_opencl4x64_ycbcr.png,../output/nature/3.nature_large_opencl4x64_dilated.png,0.0657535
../images/nature/3.nature_large.jpeg,opencl8x32,../output/nature/3.nature_large_opencl8x32_ycbcr.png,../output/nature/3.nature_large_opencl8x32_dilated.png,0.0660933
